line_no,raw,site_type,src_node,dst_node,node,sa_value,status,original_node,net,tmax_site,fault_type,is_hard
1,__buf_split_1868 /1 undetected,output,,__buf_split_1868,__buf_split_1868,1,undetected,__buf_split_1868,__buf_split_1868,__buf_split_1868,sa1,1
2,new_n2800_ /1 undetected,output,,new_n2800_,new_n2800_,1,undetected,new_n2800_,new_n2800_,new_n2800_,sa1,1
3,__buf_split_1833 /1 undetected,output,,__buf_split_1833,__buf_split_1833,1,undetected,__buf_split_1833,__buf_split_1833,__buf_split_1833,sa1,1
4,__buf_split_1830 /1 undetected,output,,__buf_split_1830,__buf_split_1830,1,undetected,__buf_split_1830,__buf_split_1830,__buf_split_1830,sa1,1
5,__buf_split_1804 /1 undetected,output,,__buf_split_1804,__buf_split_1804,1,undetected,__buf_split_1804,__buf_split_1804,__buf_split_1804,sa1,1
6,__buf_split_1806 /1 undetected,output,,__buf_split_1806,__buf_split_1806,1,undetected,__buf_split_1806,__buf_split_1806,__buf_split_1806,sa1,1
7,new_n2758_ /1 undetected,output,,new_n2758_,new_n2758_,1,undetected,new_n2758_,new_n2758_,new_n2758_,sa1,1
8,new_n2775_ /1 undetected,output,,new_n2775_,new_n2775_,1,undetected,new_n2775_,new_n2775_,new_n2775_,sa1,1
9,new_n2757_ /0 undetected,output,,new_n2757_,new_n2757_,0,undetected,new_n2757_,new_n2757_,new_n2757_,sa0,1
10,__buf_split_1802 /1 undetected,output,,__buf_split_1802,__buf_split_1802,1,undetected,__buf_split_1802,__buf_split_1802,__buf_split_1802,sa1,1
