node,total_undetected_faults,output_sa0,output_sa1,input_edge_sa0,input_edge_sa1
SUB_110_U10,2,1,1,0,0
SUB_110_U11,2,1,1,0,0
SUB_110_U15,2,1,1,0,0
SUB_110_U16,2,1,1,0,0
SUB_110_U18,2,1,1,0,0
SUB_110_U22,2,1,1,0,0
SUB_110_U9,2,1,1,0,0
GT_108_U6,1,1,0,0,0
GT_108_U6_PO,1,0,0,1,0
GT_108_U9,1,0,1,0,0
GT_114_U10,1,0,1,0,0
GT_114_U11,1,0,1,0,0
GT_114_U6,1,1,0,0,0
GT_118_U6,1,1,0,0,0
GT_118_U9,1,0,1,0,0
GT_122_U10,1,0,1,0,0
GT_122_U6,1,1,0,0,0
GT_126_U6,1,1,0,0,0
GT_130_U6,1,1,0,0,0
GT_130_U6_PO,1,0,0,1,0
GT_130_U9,1,0,1,0,0
GT_134_U6,1,1,0,0,0
GT_134_U9,1,0,1,0,0
R794_U14,1,0,1,0,0
R794_U14_PO,1,0,0,0,1
R794_U28,1,1,0,0,0
R794_U72,1,0,1,0,0
R794_U73,1,0,1,0,0
R794_U74,1,0,1,0,0
R794_U76,1,0,1,0,0
R794_U85,1,0,1,0,0
SUB_110_U12,1,0,1,0,0
SUB_110_U13,1,0,1,0,0
SUB_110_U14,1,0,1,0,0
SUB_110_U17,1,0,1,0,0
SUB_110_U19,1,0,1,0,0
SUB_110_U20,1,0,1,0,0
SUB_110_U21,1,0,1,0,0
SUB_110_U23,1,0,1,0,0
SUB_110_U24,1,0,1,0,0
SUB_110_U25,1,0,1,0,0
SUB_110_U26,1,0,1,0,0
SUB_110_U27,1,0,1,0,0
SUB_110_U28,1,0,1,0,0
SUB_110_U29,1,0,1,0,0
SUB_110_U30,1,0,1,0,0
SUB_110_U31,1,0,1,0,0
SUB_110_U32,1,0,1,0,0
SUB_110_U33,1,0,1,0,0
SUB_110_U34,1,0,1,0,0
SUB_110_U6,1,0,1,0,0
SUB_110_U7,1,0,1,0,0
SUB_110_U8,1,0,1,0,0
U1007,1,0,1,0,0
U1011,1,0,1,0,0
U1015,1,0,1,0,0
U1019,1,0,1,0,0
U593,1,0,1,0,0
U593_PO,1,0,0,0,1
U611,1,0,1,0,0
U611_PO,1,0,0,0,1
U637,1,1,0,0,0
U637_PO,1,0,0,1,0
U638,1,1,0,0,0
U638_PO,1,0,0,1,0
U707,1,0,1,0,0
U707_PO,1,0,0,0,1
U709,1,1,0,0,0
U709_PO,1,0,0,1,0
U723,1,0,1,0,0
U723_PO,1,0,0,0,1
U724,1,0,1,0,0
U724_PO,1,0,0,0,1
U726,1,0,1,0,0
U726_PO,1,0,0,0,1
U774,1,0,1,0,0
U774_PO,1,0,0,0,1
U778,1,0,1,0,0
U778_PO,1,0,0,0,1
U784,1,0,1,0,0
U786,1,0,1,0,0
U874,1,0,1,0,0
U875,1,0,1,0,0
U876,1,0,1,0,0
U877,1,0,1,0,0
U878,1,0,1,0,0
U878_PO,1,0,0,0,1
U880,1,0,1,0,0
U951,1,0,1,0,0
U953,1,0,1,0,0
U954,1,0,1,0,0
U955,1,0,1,0,0
__aig_and_1040,1,0,1,0,0
__aig_and_1214,1,0,1,0,0
__aig_and_1222,1,0,1,0,0
__aig_and_1236,1,0,1,0,0
__aig_and_1237,1,0,1,0,0
__aig_and_209,1,0,1,0,0
__aig_and_215,1,0,1,0,0
__aig_and_733,1,0,1,0,0
__aig_and_734,1,0,1,0,0
__aig_and_738,1,0,1,0,0
__aig_and_841,1,0,1,0,0
__aig_and_87,1,0,1,0,0
__aig_and_950,1,0,1,0,0
__aig_and_954,1,0,1,0,0
__aig_and_960,1,0,1,0,0
__aig_not_1,1,0,1,0,0
__aig_not_1037,1,0,1,0,0
__aig_not_1038,1,0,1,0,0
__aig_not_1039,1,0,1,0,0
__aig_not_1043,1,0,1,0,0
__aig_not_1044,1,0,1,0,0
__aig_not_1144,1,0,1,0,0
__aig_not_1215,1,0,1,0,0
__aig_not_1216,1,0,1,0,0
__aig_not_1219,1,0,1,0,0
__aig_not_1220,1,0,1,0,0
__aig_not_1221,1,0,1,0,0
__aig_not_1228,1,0,1,0,0
__aig_not_1229,1,0,1,0,0
__aig_not_1232,1,0,1,0,0
__aig_not_1233,1,0,1,0,0
__aig_not_1234,1,0,1,0,0
__aig_not_1235,1,0,1,0,0
__aig_not_137,1,0,1,0,0
__aig_not_138,1,0,1,0,0
__aig_not_140,1,0,1,0,0
__aig_not_142,1,0,1,0,0
__aig_not_2,1,0,1,0,0
__aig_not_3,1,0,1,0,0
__aig_not_40,1,0,1,0,0
__aig_not_41,1,0,1,0,0
__aig_not_511,1,0,1,0,0
__aig_not_512,1,0,1,0,0
__aig_not_514,1,0,1,0,0
__aig_not_515,1,0,1,0,0
__aig_not_693,1,0,1,0,0
__aig_not_694,1,0,1,0,0
__aig_not_716,1,0,1,0,0
__aig_not_717,1,0,1,0,0
__aig_not_719,1,0,1,0,0
__aig_not_735,1,0,1,0,0
__aig_not_736,1,0,1,0,0
__aig_not_737,1,0,1,0,0
__aig_not_842,1,0,1,0,0
__aig_not_843,1,0,1,0,0
__aig_not_846,1,0,1,0,0
__aig_not_847,1,0,1,0,0
__aig_not_849,1,0,1,0,0
__aig_not_850,1,0,1,0,0
__aig_not_951,1,0,1,0,0
__aig_not_952,1,0,1,0,0
__aig_not_953,1,0,1,0,0
__aig_not_957,1,0,1,0,0
__aig_not_958,1,0,1,0,0
__aig_not_959,1,0,1,0,0
__aig_not_983,1,0,1,0,0
__aig_not_984,1,0,1,0,0
__aig_not_985,1,0,1,0,0
__buf_split_1004,1,0,1,0,0
__buf_split_1006,1,0,1,0,0
__buf_split_1009,1,0,1,0,0
__buf_split_1032,1,0,1,0,0
__buf_split_118,1,0,1,0,0
__buf_split_119,1,0,1,0,0
__buf_split_120,1,0,1,0,0
__buf_split_121,1,0,1,0,0
__buf_split_122,1,0,1,0,0
__buf_split_124,1,0,1,0,0
__buf_split_125,1,0,1,0,0
__buf_split_1269,1,0,1,0,0
__buf_split_1270,1,0,1,0,0
__buf_split_1276,1,0,1,0,0
__buf_split_1277,1,0,1,0,0
__buf_split_128,1,0,1,0,0
__buf_split_21,1,0,1,0,0
__buf_split_22,1,0,1,0,0
__buf_split_228,1,0,1,0,0
__buf_split_229,1,0,1,0,0
__buf_split_231,1,0,1,0,0
__buf_split_243,1,0,1,0,0
__buf_split_244,1,0,1,0,0
__buf_split_247,1,0,1,0,0
__buf_split_249,1,0,1,0,0
__buf_split_251,1,0,1,0,0
__buf_split_252,1,0,1,0,0
__buf_split_253,1,0,1,0,0
__buf_split_265,1,0,1,0,0
__buf_split_393,1,0,1,0,0
__buf_split_511,1,0,1,0,0
__buf_split_512,1,0,1,0,0
__buf_split_515,1,0,1,0,0
__buf_split_516,1,0,1,0,0
__buf_split_517,1,0,1,0,0
__buf_split_519,1,0,1,0,0
__buf_split_521,1,0,1,0,0
__buf_split_61,1,0,1,0,0
__buf_split_617,1,0,1,0,0
__buf_split_62,1,0,1,0,0
__buf_split_623,1,0,1,0,0
__buf_split_629,1,0,1,0,0
__buf_split_635,1,0,1,0,0
__buf_split_636,1,0,1,0,0
__buf_split_637,1,0,1,0,0
__buf_split_655,1,0,1,0,0
__buf_split_786,1,0,1,0,0
__buf_split_788,1,0,1,0,0
__buf_split_79,1,0,1,0,0
__buf_split_792,1,0,1,0,0
__buf_split_793,1,0,1,0,0
__buf_split_795,1,0,1,0,0
__buf_split_796,1,0,1,0,0
__buf_split_797,1,0,1,0,0
__buf_split_798,1,0,1,0,0
__buf_split_80,1,0,1,0,0
__buf_split_804,1,0,1,0,0
__buf_split_805,1,0,1,0,0
__buf_split_806,1,0,1,0,0
__buf_split_807,1,0,1,0,0
__buf_split_808,1,0,1,0,0
__buf_split_809,1,0,1,0,0
__buf_split_810,1,0,1,0,0
__buf_split_811,1,0,1,0,0
__buf_split_812,1,0,1,0,0
__buf_split_813,1,0,1,0,0
__buf_split_814,1,0,1,0,0
__buf_split_815,1,0,1,0,0
__buf_split_816,1,0,1,0,0
__buf_split_817,1,0,1,0,0
__buf_split_818,1,0,1,0,0
__buf_split_819,1,0,1,0,0
__buf_split_820,1,0,1,0,0
__buf_split_830,1,0,1,0,0
__buf_split_831,1,0,1,0,0
__buf_split_832,1,0,1,0,0
__buf_split_899,1,0,1,0,0
__buf_split_900,1,0,1,0,0
__buf_split_962,1,0,1,0,0
__buf_split_967,1,0,1,0,0
