benchmark_id	state_id	candidate_strategy	score_field	oracle_best_action	oracle_best_delta_tc	model_top1_action	model_top1_pred	model_top1_real_delta_tc	top1_regret	negative_top1
subckt_0057	initial	cached_hard_cone	reward_pred	U468::control0	0.0	R182_U85::control1	0.3382025957107544	0.0	0.0	0
subckt_0057	initial	cached_hard_cone	fc_pred	U468::control0	0.0	R182_U85::control1	0.003382025957107544	0.0	0.0	0
subckt_0057	initial	cached_hard_cone	guarded_reward	U468::control0	0.0	__buf_split_119::control0	0.31240108609199524	0.0	0.0	0
subckt_0057	initial	cached_hard_cone	return_pred	U468::control0	0.0	__buf_split_119::control0	0.31240108609199524	0.0	0.0	0
subckt_0057	initial	cached_hard_cone	hard_reduction_total_pred	U468::control0	0.0	U365::observe	0.09370917081832886	0.0	0.0	0
subckt_0057	initial	cached_hard_cone	hybrid_pred	U468::control0	0.0	U365::observe	9.947704315185547	0.0	0.0	0
subckt_0057	initial	cached_hard_cone	bounded_residual_hybrid_pred	U468::control0	0.0	U365::observe	9.515113890171051	0.0	0.0	0
subckt_0057	initial	cached_hard_cone	derived_hard_reduction_total_pred	U468::control0	0.0	U468::control0	0.09314117580652237	0.0	0.0	0
subckt_0057	initial	cached_hard_cone	derived_hard_reduction_hybrid_pred	U468::control0	0.0	U468::control0	9.314117580652237	0.0	0.0	0
subckt_0057	initial	cached_random	reward_pred	__buf_split_431::control0	0.0	__buf_split_298::control1	0.344061017036438	0.0	0.0	0
subckt_0057	initial	cached_random	fc_pred	__buf_split_431::control0	0.0	__buf_split_298::control1	0.00344061017036438	0.0	0.0	0
subckt_0057	initial	cached_random	guarded_reward	__buf_split_431::control0	0.0	__aig_and_163::control1	0.29709118604660034	0.0	0.0	0
subckt_0057	initial	cached_random	return_pred	__buf_split_431::control0	0.0	__aig_and_163::control1	0.29709118604660034	0.0	0.0	0
subckt_0057	initial	cached_random	hard_reduction_total_pred	__buf_split_431::control0	0.0	__aig_and_254::observe	0.09482691437005997	0.0	0.0	0
subckt_0057	initial	cached_random	hybrid_pred	__buf_split_431::control0	0.0	__aig_and_254::observe	10.08160999417305	0.0	0.0	0
subckt_0057	initial	cached_random	bounded_residual_hybrid_pred	__buf_split_431::control0	0.0	__aig_and_254::observe	9.63242107629776	0.0	0.0	0
