deep_node	original_net	original_kind	original_gate	original_order	deep_gate	boundary_exact	local_truth_exact	global_signature_exact	deep_is_sink	paper_candidate_legal
N0	P1_MEMORYFETCH_REG_SCAN_IN	PI	INPUT	0	INPUT	True	True	True	False	False
N1	DATAI_31_	PI	INPUT	1	INPUT	True	True	True	False	False
N2	DATAI_30_	PI	INPUT	2	INPUT	True	True	True	False	False
N3	DATAI_29_	PI	INPUT	3	INPUT	True	True	True	False	False
N4	DATAI_28_	PI	INPUT	4	INPUT	True	True	True	False	False
N5	DATAI_27_	PI	INPUT	5	INPUT	True	True	True	False	False
N6	DATAI_26_	PI	INPUT	6	INPUT	True	True	True	False	False
N7	DATAI_25_	PI	INPUT	7	INPUT	True	True	True	False	False
N8	DATAI_24_	PI	INPUT	8	INPUT	True	True	True	False	False
N9	DATAI_23_	PI	INPUT	9	INPUT	True	True	True	False	False
N10	DATAI_22_	PI	INPUT	10	INPUT	True	True	True	False	False
N11	DATAI_21_	PI	INPUT	11	INPUT	True	True	True	False	False
N12	DATAI_20_	PI	INPUT	12	INPUT	True	True	True	False	False
N13	DATAI_19_	PI	INPUT	13	INPUT	True	True	True	False	False
N14	DATAI_18_	PI	INPUT	14	INPUT	True	True	True	False	False
N15	DATAI_17_	PI	INPUT	15	INPUT	True	True	True	False	False
N16	DATAI_16_	PI	INPUT	16	INPUT	True	True	True	False	False
N17	DATAI_15_	PI	INPUT	17	INPUT	True	True	True	False	False
N18	DATAI_14_	PI	INPUT	18	INPUT	True	True	True	False	False
N19	DATAI_13_	PI	INPUT	19	INPUT	True	True	True	False	False
N20	DATAI_12_	PI	INPUT	20	INPUT	True	True	True	False	False
N21	DATAI_11_	PI	INPUT	21	INPUT	True	True	True	False	False
N22	DATAI_10_	PI	INPUT	22	INPUT	True	True	True	False	False
N23	DATAI_9_	PI	INPUT	23	INPUT	True	True	True	False	False
N24	DATAI_8_	PI	INPUT	24	INPUT	True	True	True	False	False
N25	DATAI_7_	PI	INPUT	25	INPUT	True	True	True	False	False
