variant	score_field	expanded_spearman	expanded_negative_top1	expanded_top1_real_delta	expanded_top1_regret	transfer_spearman	transfer_negative_top1	transfer_top1_real_delta	transfer_top1_regret	verdict	reasons
incumbent	hybrid_pred	0.07857912070069822	0.4864864864864865	-0.013760540540540541	0.040851621621621634	0.3268312328860103	0.16666666666666666	0.010638333333333324	0.012551666666666702	BASELINE	
B_oracle_0p05	derived_hard_reduction_hybrid_pred	0.42458450013894894	0.16216216216216217	0.0077886486486486274	0.019302432432432463	0.08095339772482579	0.0	0.005678333333333341	0.017511666666666686	BASELINE	
q_v1_all_pairwise	q_pred	0.4623855365696906	0.2702702702702703	0.0034402702702702737	0.023650810810810816	0.2547980805996234	0.0	0.011021666666666652	0.012168333333333373	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse
incumbent	hybrid_pred	0.07857912070069822	0.4864864864864865	-0.013760540540540541	0.040851621621621634	0.3266739219684491	0.16666666666666666	0.010638333333333324	0.012551666666666702	BASELINE	
B_oracle_0p05	derived_hard_reduction_hybrid_pred	0.42458450013894894	0.16216216216216217	0.0077886486486486274	0.019302432432432463	0.08113254280386445	0.0	0.005678333333333341	0.017511666666666686	BASELINE	
q_v1_factorized_hard_topk	q_pred	0.4139178552669999	0.24324324324324326	-0.00202081081081082	0.02911189189189191	0.13194968116596764	0.16666666666666666	0.004138333333333318	0.019051666666666706	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
incumbent	hybrid_pred	0.0785806774147185	0.4864864864864865	-0.013760540540540541	0.040851621621621634	0.3267172005985642	0.16666666666666666	0.010638333333333324	0.012551666666666702	BASELINE	
B_oracle_0p05	derived_hard_reduction_hybrid_pred	0.42458450013894894	0.16216216216216217	0.0077886486486486274	0.019302432432432463	0.0812659299626282	0.0	0.005678333333333341	0.017511666666666686	BASELINE	
q_v1_hard_topk	q_pred	0.34995535270420264	0.2972972972972973	-0.00015729729729730457	0.027248378378378395	0.02823990403127596	0.16666666666666666	-0.00411333333333332	0.027303333333333346	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
incumbent	hybrid_pred	0.07794130687992688	0.4864864864864865	-0.013760540540540541	0.040851621621621634	0.32739827342251004	0.16666666666666666	0.010638333333333324	0.012551666666666702	BASELINE	
B_oracle_0p05	derived_hard_reduction_hybrid_pred	0.4239875295611484	0.16216216216216217	0.0077886486486486274	0.019302432432432463	0.08146146360301947	0.0	0.005678333333333341	0.017511666666666686	BASELINE	
q_v1_listwise_only	q_pred	0.38387494254506693	0.21621621621621623	0.005522972972972974	0.021568108108108115	0.2430607798534933	0.3333333333333333	0.006488333333333336	0.016701666666666688	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse,transfer_negative_top1_worse,transfer_regret_worse_than_incumbent
