variant	score_field	expanded_spearman	expanded_negative_top1	expanded_top1_real_delta	expanded_top1_regret	transfer_spearman	transfer_negative_top1	transfer_top1_real_delta	transfer_top1_regret	verdict	reasons
incumbent	hybrid_pred	0.07857912070069822	0.4864864864864865	-0.013760540540540541	0.040851621621621634	0.3270384934207897	0.16666666666666666	0.010638333333333324	0.012551666666666702	BASELINE	
B_oracle_0p05	derived_hard_reduction_hybrid_pred	0.42458450013894894	0.16216216216216217	0.0077886486486486274	0.019302432432432463	0.08112771953066629	0.0	0.005678333333333341	0.017511666666666686	BASELINE	
q_v2_pairwise_listwise_hardred	q_pred	0.4621775014814018	0.21621621621621623	0.005337837837837838	0.02175324324324325	0.14773094984698257	0.5	-0.0033116666666666203	0.026501666666666646	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse,transfer_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
incumbent	hybrid_pred	0.0785806774147185	0.4864864864864865	-0.013760540540540541	0.040851621621621634	0.32688954401868126	0.16666666666666666	0.010638333333333324	0.012551666666666702	BASELINE	
B_oracle_0p05	derived_hard_reduction_hybrid_pred	0.42458450013894894	0.16216216216216217	0.0077886486486486274	0.019302432432432463	0.08130353132216146	0.0	0.005678333333333341	0.017511666666666686	BASELINE	
q_v2_pairwise_listwise	q_pred	0.5102340118181774	0.1891891891891892	0.0028929729729729706	0.02419810810810812	0.17182846469936755	0.0	0.017750000000000005	0.005440000000000019	REJECT	expanded_negative_top1_worse,transfer_spearman_below_0p20
incumbent	hybrid_pred	0.0785806774147185	0.4864864864864865	-0.013760540540540541	0.040851621621621634	0.326673399184011	0.16666666666666666	0.010638333333333324	0.012551666666666702	BASELINE	
B_oracle_0p05	derived_hard_reduction_hybrid_pred	0.42458450013894894	0.16216216216216217	0.0077886486486486274	0.019302432432432463	0.08111157193038998	0.0	0.005678333333333341	0.017511666666666686	BASELINE	
q_v2_pairwise_only	q_pred	0.314053154279489	0.2972972972972973	-1.0810810810881634e-06	0.027092162162162182	0.06867285090228638	0.16666666666666666	0.0009799999999999993	0.022210000000000025	REJECT	expanded_spearman_below_0p50,expanded_negative_top1_worse,transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
incumbent	hybrid_pred	0.0785806774147185	0.4864864864864865	-0.013760540540540541	0.040851621621621634	0.3269922111051568	0.16666666666666666	0.010638333333333324	0.012551666666666702	BASELINE	
B_oracle_0p05	derived_hard_reduction_hybrid_pred	0.42458450013894894	0.16216216216216217	0.0077886486486486274	0.019302432432432463	0.08095125227340683	0.0	0.005678333333333341	0.017511666666666686	BASELINE	
q_v2_value_only	q_pred	0.5716799302065165	0.08108108108108109	0.011939459459459451	0.015151621621621638	0.062165875484434384	0.0	0.0023883333333333625	0.020801666666666663	REJECT	transfer_regret_worse_than_incumbent,transfer_spearman_below_0p20
