step,node,type,q_pred,q_pred_context,score_pred,reward_pred,reward_pred_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N5010,observe,0.4103727340698242,-4.853812748640776,0.4103727340698242,0.19353574514389038,4.393750612437725,0.0019353574514389038,-0.07693135738372803,0.8343895673751831,0.19353574514389038,5.252118684053421,-0.009112243540585041,-0.042849984019994736,-0.03190603107213974,74785.9375,30805.484375,43980.453125,73899.5,30934.7734375,42964.7265625,0.011852997355163097,-0.004196949303150177,0.02309495396912098,1.1852997355163097,0.11670095846056938,5.392680506706237,-0.6542430259287357,-3.110319885015488,0.19353574514389038,0.19353574514389038,0.19353574514389038,greedy,0.19353574514389038,0.0,hard_fault_cluster
2,N8936,observe,0.4122990667819977,-0.9328091040253639,0.4122990667819977,0.19639447331428528,0.11275400370359423,0.001963944733142853,-0.1284143030643463,0.8447080850601196,0.19639447331428528,0.8628177052736282,-0.008781726472079754,-0.050234682857990265,-0.041509442031383514,73898.71875,30934.20703125,42964.5078125,73726.3125,31162.052734375,42564.26171875,0.002333007287234068,-0.007365493569523096,0.009315737523138523,0.2333007287234068,0.16292991116642952,-1.0589115598797798,-0.6178970076143742,-1.8701577165722847,0.19639447331428528,0.38993021845817566,0.38993021845817566,greedy,0.19639447331428528,0.0,hard_fault_cluster
3,N15784,control1,0.40063029527664185,0.5115655332803727,0.40063029527664185,0.20305533707141876,1.0805842980742455,0.0020305533707141877,-0.13934460282325745,0.8486515283584595,0.20305533707141876,1.6034125052392483,-0.00871338788419962,-0.051761578768491745,-0.04349508881568909,73726.109375,31161.525390625,42564.58203125,73502.515625,31192.6953125,42309.81640625,0.0030327620916068554,-0.0010002694325521588,0.005985389929264784,0.30327620916068554,0.1803680770099163,-1.450310916006565,-0.6084120720624924,-1.3190191689133643,0.20305533707141876,0.5929855555295944,0.5929855555295944,greedy,0.20305533707141876,0.0,hard_fault_cluster
4,N16006,observe,0.39290425181388855,-3.4561445862054825,0.39290425181388855,0.22025412321090698,3.133807200193405,0.00220254123210907,-0.1446356326341629,0.8561341762542725,0.22025412321090698,3.783372377157211,-0.008747337386012077,-0.05100303143262863,-0.04250863939523697,73502.6328125,31193.37109375,42309.26171875,73046.59375,30958.412109375,42088.1796875,0.006204390898346901,0.007532337214797735,0.005225381348282099,0.6204390898346901,0.2016545608639717,3.8302891921997073,-0.6056366637349129,-3.1925754046440127,0.22025412321090698,0.8132396787405014,0.8132396787405014,greedy,0.22025412321090698,0.0,hard_fault_cluster
5,N12597,observe,0.3865186274051666,-5.046805714722723,0.3865186274051666,0.24474328756332397,4.061706121824682,0.0024474328756332398,-0.13930289447307587,0.857217013835907,0.24474328756332397,5.1,-0.00886286236345768,-0.04842187464237213,-0.039151981472969055,73046.7890625,30958.669921875,42088.1171875,72634.703125,30665.20703125,41969.49609375,0.005641397088766098,0.00947918277233839,0.002818398643285036,0.5641397088766098,0.21567406505346298,5.28,-0.6107961609959602,-5.328219738006592,0.24474328756332397,1.0579829663038254,1.0579829663038254,greedy,0.24474328756332397,0.0,hard_fault_cluster
6,N15059,observe,0.3864521086215973,-4.89553222924471,0.3864521086215973,0.2491384744644165,4.332698705792427,0.002491384744644165,-0.14084449410438538,0.8625984191894531,0.2491384744644165,5.248196532726288,-0.00883356761187315,-0.04907641187310219,-0.04000317305326462,72635.03125,30665.375,41969.65625,72439.375,30583.2890625,41856.08203125,0.0026936898939311504,0.0026768280658870935,0.0027061032596975565,0.26936898939311504,0.22838013246655464,2.5159738588333127,-0.6054225377738476,-4.153341867923737,0.2491384744644165,1.3071214407682419,1.3071214407682419,greedy,0.2491384744644165,0.0,hard_fault_cluster
7,N11465,observe,0.3903683125972748,-0.39122004657983767,0.3903683125972748,0.25006356835365295,5.35371507704258,0.0025006356835365296,-0.14367957413196564,0.8686654567718506,0.25006356835365295,6.049265720844269,-0.008789843879640102,-0.050053324550390244,-0.04127359390258789,72439.0859375,30583.09765625,41855.98828125,72282.5234375,30544.736328125,41737.78515625,0.002161298645660281,0.0012543309712782502,0.0028240433894097805,0.21612986456602812,0.2397446371614933,3.7141167974472045,-0.5993021316826344,-1.2232020723819734,0.25006356835365295,1.5571850091218948,1.5571850091218948,greedy,0.25006356835365295,0.0,hard_fault_cluster
8,N12682,observe,0.39163005352020264,-0.6691169553995133,0.39163005352020264,0.25465676188468933,4.745469817519188,0.0025465676188468934,-0.14309914410114288,0.8725582361221313,0.25465676188468933,5.492241271436215,-0.008787035942077637,-0.05011606961488724,-0.0413551926612854,72282.421875,30544.65234375,41737.7734375,72085.6875,30461.0546875,41624.62890625,0.002721745753660798,0.0027369000017642975,0.002710842527449131,0.2721745753660798,0.248511403799057,4.504679509401321,-0.5968998447060585,-1.0029079881310463,0.25465676188468933,1.8118417710065842,1.8118417710065842,greedy,0.25465676188468933,0.0,hard_fault_cluster
9,N4003,observe,0.3902193605899811,-0.17516567647457126,0.3902193605899811,0.2559702694416046,4.014875011146068,0.002559702694416046,-0.14314205944538116,0.8731659650802612,0.2559702694416046,5.05989887341857,-0.00878419354557991,-0.05017957091331482,-0.04143776744604111,72085.59375,30460.951171875,41624.640625,71987.5390625,30449.8671875,41537.671875,0.0013602535473182797,0.0003638751804828644,0.0020893574692308903,0.13602535473182797,0.2507168799638748,1.6863621789216996,-0.5961352959275246,-1.3427301329374313,0.2559702694416046,2.067812040448189,2.067812040448189,greedy,0.2559702694416046,0.0,hard_fault_cluster
10,N15080,observe,0.3930078446865082,2.085444501489401,0.3930078446865082,0.2543626129627228,3.007754831016064,0.0025436261296272276,-0.14728482067584991,0.8782802224159241,0.2543626129627228,3.3332634648680686,-0.00874314270913601,-0.051096756011247635,-0.042630523443222046,71987.4609375,30449.873046875,41537.58984375,71803.4140625,30401.005859375,41402.41015625,0.0025566518306732178,0.0016048403922468424,0.003254394046962261,0.2556651830673218,0.25832856446504593,6.242634891271591,-0.5911535620689392,-0.4699168989062309,0.2543626129627228,2.3221746534109116,2.3221746534109116,greedy,0.2543626129627228,0.0,hard_fault_cluster
11,N11147,control1,0.39253389835357666,1.0029387220740318,0.39253389835357666,0.24545451998710632,0.6203631870448589,0.002454545199871063,-0.14786240458488464,0.8789266347885132,0.24545451998710632,0.8347453280538321,-0.008681525476276875,-0.05247347056865692,-0.044420868158340454,71803.6875,30400.740234375,41402.9453125,71812.5546875,30496.849609375,41315.70703125,-0.00012349209282547235,-0.0031614156905561686,0.002107054926455021,-0.012349209282547235,0.25622860714793205,-2.9016111762076617,-0.5870572589337826,-0.5078221828490496,0.24545451998710632,2.567629173398018,2.567629173398018,greedy,0.24545451998710632,0.0,hard_fault_cluster
12,N1756,control1,0.39354369044303894,5.710237929224967,0.39354369044303894,0.23986747860908508,2.852391437292099,0.0023986747860908508,-0.14737887680530548,0.8860642910003662,0.23986747860908508,2.629246770739555,-0.00861890334635973,-0.05387262627482414,-0.04624039679765701,71849.71875,30448.2890625,41401.42578125,71713.875,30455.556640625,41258.3203125,0.0018906650366261601,-0.00023868592688813806,0.003456534817814827,0.18906650366261601,0.2640414349734783,6.7790963745117185,-0.5804073922336102,0.8477304172515869,0.23986747860908508,2.807496652007103,2.807496652007103,greedy,0.23986747860908508,0.0,hard_fault_cluster
13,N15813,control1,0.39088836312294006,1.189649647474289,0.39088836312294006,0.23630017042160034,1.1553172260522844,0.002363001704216003,-0.14830538630485535,0.8855183124542236,0.23630017042160034,1.5841811290383339,-0.00859061535447836,-0.05450466275215149,-0.04706232249736786,71674.4140625,30502.4609375,41171.953125,71626.9921875,30532.84375,41094.1484375,0.0006616290775127709,-0.0009960774332284927,0.0018897497793659568,0.06616290775127709,0.26275694742798805,-0.44360221475362777,-0.5786069147288799,-0.7304021820425988,0.23630017042160034,3.0437968224287033,3.0437968224287033,greedy,0.23630017042160034,0.0,hard_fault_cluster
